electionyear,stateabbreviation,statename,voterturnout,nonvoter_reg_pct,pct_reg_of_vep_vrs,midterm,percentcitizenwhite,percentcitizenblack
2016,AR,Arkansas,52.80%,0.05,0.84,0,0.79,0.15
2018,AR,Arkansas,41.30%,0.03,0.79,1,0.78,0.15
2016,CO,Colorado,70.00%,0.06,0.90,0,0.80,0.04
2018,CO,Colorado,61.40%,0.05,0.88,1,0.77,0.04
2016,FL,Florida,64.50%,0.06,0.87,0,0.63,0.14
2018,FL,Florida,54.30%,0.03,0.87,1,0.62,0.15
2016,HI,Hawaii,42.30%,0.07,0.72,0,0.21,0.02
2018,HI,Hawaii,39.50%,0.06,0.71,1,0.21,0.02
2016,TX,Texas,51.40%,0.05,0.80,0,0.54,0.14
2018,TX,Texas,45.60%,0.03,0.78,1,0.51,0.14
